asset_path,source_migration_file,source_url,original_w,original_h,committed_w,committed_h,slot,min_required_w,consent_basis
site/src/assets/images/uploads/home-hero.jpg,migration/images/community-00-95e817ec.jpg,https://static.wixstatic.com/media/276df0_0b740b01899349089fd462361b4363e9~mv2.jpg,4032,3024,2560,1920,home_hero,1920,republished-public-wix; see migration/CONSENT.md
site/public/og/og-default.jpg,migration/images/community-00-95e817ec.jpg,https://static.wixstatic.com/media/276df0_0b740b01899349089fd462361b4363e9~mv2.jpg,4032,3024,1200,630,og_default,1200,republished-public-wix; see migration/CONSENT.md
site/src/assets/images/coaches/coach-kj.jpg,migration/images/coaches-02-1fff2a21.jpg,https://static.wixstatic.com/media/276df0_d6c574c435964f8db9121daa8ea80b29~mv2.jpg,2400,2400,2400,2400,coach_photo,1200,republished-public-wix; see migration/CONSENT.md
site/src/assets/images/coaches/coach-greg.jpg,migration/images/coaches-00-6bc45535.jpg,https://static.wixstatic.com/media/276df0_363e6083345f41ad94319754717b3f88~mv2.jpg,2048,2048,2048,2048,coach_photo,1200,republished-public-wix; see migration/CONSENT.md
site/src/assets/images/coaches/coach-rebecca.jpg,migration/images/coaches-03-52d6e8ed.jpg,https://static.wixstatic.com/media/276df0_dd86bf121844427eac9cf00a1c92ea11~mv2.jpg,2688,2688,2560,2560,coach_photo,1200,republished-public-wix; see migration/CONSENT.md
site/src/assets/images/trips/sisu-ski-fest-hero.jpg,migration/images/sisu-signup-00-038c18b8.jpg,https://static.wixstatic.com/media/276df0_b2da2db6c64d4677b8a271017f9b3f40~mv2.jpg,3000,1970,2560,1681,trip_hero,1600,republished-public-wix; see migration/CONSENT.md
site/src/assets/images/sponsors/twin-cities-orthopedics.png,migration/images/sponsors-00-1ae83cc3.png,https://static.wixstatic.com/media/39aeda_6deb2773b03048ddb784990a7fd930d6~mv2.png,8190,1595,2560,499,sponsor_logo,0,
site/src/assets/images/sponsors/kwik-trip.jpg,migration/images/sponsors-01-079cd33a.jpg,https://static.wixstatic.com/media/39aeda_ddf71c2ceef4453cb0d1c8eed2ef12c5~mv2.jpg,620,620,620,620,sponsor_logo,0,
site/src/assets/images/uploads/home-hero-trail.jpg,migration/slack_photos/2025-11-29_1764449909-984339_0.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),4032,3024,2560,1920,home_hero,1920,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/vasaloppet-duo.jpg,migration/slack_photos/2026-02-14_1771088334-691999_0.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),4032,3024,2560,1920,mosaic,800,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/coaches/coach-michael.jpg,migration/slack_photos/2025-08-07_1754622922-641059_0.jpg,slack://twincitiesskiclub/#photos-videos (posted by Michael Symanski himself),4284,5712,1920,2560,coach,1200,member-posted-club-slack (self); see migration/CONSENT.md
site/src/assets/images/photos/oo-corridor.jpg,migration/slack_photos/2025-11-27_1764268748-158379_0.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),3024,4032,1920,2560,mosaic,800,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/recess-ski.jpg,migration/slack_photos/2025-12-01_1764613340-935069_0.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),3024,4032,1920,2560,mosaic,800,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/breadwinners.jpg,migration/slack_photos/2025-12-20_1766246168-871389_0.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),3072,4080,1928,2560,mosaic,800,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/night-practice.jpg,migration/slack_photos/2026-01-08_1767926187-104029_0.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),4032,3024,2560,1920,mosaic,800,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/ashwabay-podiums.jpg,migration/slack_photos/2026-01-31_1769909408-073549_1.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),4000,3000,2560,1920,mosaic,800,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/loppet-skijor.jpg,migration/slack_photos/2025-02-03_1738622884-996139_0.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),2500,1667,2500,1667,mosaic,800,member-posted-club-slack; see migration/CONSENT.md
